"","NP","DP","diff","Probe"
"AICDA",-2.37749503783551,-1.70470566371252,-0.672789374122996,"AICDA"
"APP",2.59886267743173,2.27574238689868,0.323120290533041,"APP"
"CD14",-1.57469578771238,-1.03075160225792,-0.54394418545446,"CD14"
"CYBB",-0.595533697899577,0.324755891336953,-0.92028958923653,"CYBB"
"DEFB1",2.27842853507881,0.184047617859097,2.09438091721972,"DEFB1"
"GZMA",-1.43866268307239,-1.68563443379836,0.246971750725968,"GZMA"
"GZMB",-1.26558843967608,-1.08901272422808,-0.176575715448001,"GZMB"
"GZMH",-1.47748287750433,-1.2253493094572,-0.25213356804713,"GZMH"
"HLA-A",2.38529188809299,2.53672705945846,-0.151435171365469,"HLA-A"
"HLA-B",3.0122708611658,2.84150522841101,0.170765632754787,"HLA-B"
"HLA-E",1.81531788013853,1.94484439815132,-0.129526518012791,"HLA-E"
"IDO1",-1.95731088295259,-1.91084096711478,-0.0464699158378066,"IDO1"
"IDO2",-3.61386114302009,-2.98867786410825,-0.625183278911834,"IDO2"
"PRF1",-0.98147519434337,-0.734687145133361,-0.246788049210009,"PRF1"
"TXNIP",3.19193390210846,2.26203712769494,0.929896774413515,"TXNIP"
