ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18	SAMPLE 19	SAMPLE 20
bkv-miR-B1-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
bkv-miR-B1-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART1-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART1-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART10	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART10*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART11-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART11-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART12	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART13	-2.38547	-2.4545794	-1.9774303	-2.034741	-2.49128	-2.5596008	-2.1846485	-2.167955	-0.67120886	-0.70904446	-0.6755552	-0.69385433	0	0	0	0	0	0	0	0
ebv-miR-BART13*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART14	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART14*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART15	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART16	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART17-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART17-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART18-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART18-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART19-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART19-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART2-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART2-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART20-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART20-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART21-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART21-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART22	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART3	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART3*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART4	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART4*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART5	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
ebv-miR-BART5*	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
