File Name			NS_miRQC1
Description			
Sample ID			1
Owner			NS
Sample Date			7/25/2012
File Version			1.7
Gene RLF			NS_H_MIR_V2
Comments			sample1
Lane ID			1
FOV Count			280
FOV Counted			280
Scanner ID			KB0006
Stage Position			6
Binding Density			0.51
Messages			
Endogenous1	hsa-let-7a-5p	MIMAT0000062	28638
Endogenous1	hsa-let-7b-5p	MIMAT0000063	5868
Endogenous1	hsa-let-7c	MIMAT0000064	3007
Endogenous1	hsa-let-7d-5p	MIMAT0000065	795
Endogenous1	hsa-let-7e-5p	MIMAT0000066	1270
Endogenous1	hsa-let-7f-5p	MIMAT0000067	3757
Endogenous1	hsa-let-7g-5p	MIMAT0000414	9193
Endogenous1	hsa-let-7i-5p	MIMAT0000415	987
Endogenous1	hsa-miR-1	MIMAT0000416	4262
Endogenous1	hsa-miR-100-5p	MIMAT0000098	1302
Endogenous1	hsa-miR-101-3p	MIMAT0000099	28
Endogenous1	hsa-miR-103a-3p	MIMAT0000101	18
Endogenous1	hsa-miR-105-5p	MIMAT0000102	26
Endogenous1	hsa-miR-106a-5p+hsa-miR-17-5p	MIMAT0000103	1791
Endogenous1	hsa-miR-106b-5p	MIMAT0000680	590
Endogenous1	hsa-miR-107	MIMAT0000104	719
Endogenous1	hsa-miR-10a-5p	MIMAT0000253	108
Endogenous1	hsa-miR-10b-5p	MIMAT0000254	130
Endogenous1	hsa-miR-1178	MIMAT0005823	18
Endogenous1	hsa-miR-1179	MIMAT0005824	8
Endogenous1	hsa-miR-1180	MIMAT0005825	25
Endogenous1	hsa-miR-1181	MIMAT0005826	17
Endogenous1	hsa-miR-1182	MIMAT0005827	8
Endogenous1	hsa-miR-1183	MIMAT0005828	20
Endogenous1	hsa-miR-1184	MIMAT0005829	8
Endogenous1	hsa-miR-1185-5p	MIMAT0005798	20
Endogenous1	hsa-miR-1193	MIMAT0015049	39
Endogenous1	hsa-miR-1197	MIMAT0005955	7
Endogenous1	hsa-miR-1200	MIMAT0005863	10
Endogenous1	hsa-miR-1202	MIMAT0005865	26
Endogenous1	hsa-miR-1203	MIMAT0005866	13
Endogenous1	hsa-miR-1204	MIMAT0005868	12
Endogenous1	hsa-miR-1205	MIMAT0005869	8
Endogenous1	hsa-miR-1206	MIMAT0005870	50
Endogenous1	hsa-miR-1207-3p	MIMAT0005872	18
Endogenous1	hsa-miR-1208	MIMAT0005873	16
Endogenous1	hsa-miR-122-5p	MIMAT0000421	1120
Endogenous1	hsa-miR-1224-3p	MIMAT0005459	5
Endogenous1	hsa-miR-1224-5p	MIMAT0005458	19
Endogenous1	hsa-miR-1225-3p	MIMAT0005573	23
Endogenous1	hsa-miR-1225-5p	MIMAT0005572	18
Endogenous1	hsa-miR-1226-3p	MIMAT0005577	24
Endogenous1	hsa-miR-1227	MIMAT0005580	9
Endogenous1	hsa-miR-1228-3p	MIMAT0005583	27
Endogenous1	hsa-miR-1229	MIMAT0005584	6
Endogenous1	hsa-miR-1231	MIMAT0005586	4
Endogenous1	hsa-miR-1233	MIMAT0005588	105
Endogenous1	hsa-miR-1234	MIMAT0005589	29
Endogenous1	hsa-miR-1236	MIMAT0005591	19
Endogenous1	hsa-miR-1237	MIMAT0005592	8
Endogenous1	hsa-miR-1238	MIMAT0005593	14
Endogenous1	hsa-miR-124-3p	MIMAT0000422	2069
Endogenous1	hsa-miR-1243	MIMAT0005894	12
Endogenous1	hsa-miR-1244	MIMAT0005896	8
Endogenous1	hsa-miR-1245a	MIMAT0005897	6
Endogenous1	hsa-miR-1245b-3p	MIMAT0019951	12
Endogenous1	hsa-miR-1245b-5p	MIMAT0019950	16
Endogenous1	hsa-miR-1246	MIMAT0005898	141
Endogenous1	hsa-miR-1247-5p	MIMAT0005899	70
Endogenous1	hsa-miR-1248	MIMAT0005900	5
Endogenous1	hsa-miR-1249	MIMAT0005901	12
Endogenous1	hsa-miR-1250	MIMAT0005902	10
Endogenous1	hsa-miR-1251	MIMAT0005903	5
Endogenous1	hsa-miR-1252	MIMAT0005944	22
Endogenous1	hsa-miR-1253	MIMAT0005904	26
Endogenous1	hsa-miR-1254	MIMAT0005905	14
Endogenous1	hsa-miR-1255a	MIMAT0005906	16
Endogenous1	hsa-miR-1255b-5p	MIMAT0005945	9
Endogenous1	hsa-miR-1256	MIMAT0005907	13
Endogenous1	hsa-miR-1257	MIMAT0005908	13
Endogenous1	hsa-miR-1258	MIMAT0005909	13
Endogenous1	hsa-miR-125a-3p	MIMAT0004602	33
Endogenous1	hsa-miR-125a-5p	MIMAT0000443	2049
Endogenous1	hsa-miR-125b-5p	MIMAT0000423	31524
Endogenous1	hsa-miR-126-3p	MIMAT0000445	4027
Endogenous1	hsa-miR-1260a	MIMAT0005911	282
Endogenous1	hsa-miR-1260b	MIMAT0015041	51
Endogenous1	hsa-miR-1261	MIMAT0005913	15
Endogenous1	hsa-miR-1262	MIMAT0005914	10
Endogenous1	hsa-miR-1263	MIMAT0005915	7
Endogenous1	hsa-miR-1264	MIMAT0005791	7
Endogenous1	hsa-miR-1265	MIMAT0005918	17
Endogenous1	hsa-miR-1266	MIMAT0005920	5
Endogenous1	hsa-miR-1267	MIMAT0005921	8
Endogenous1	hsa-miR-1268a	MIMAT0005922	39
Endogenous1	hsa-miR-1268b	MIMAT0018925	13
Endogenous1	hsa-miR-1269a	MIMAT0005923	31
Endogenous1	hsa-miR-1269b	MIMAT0019059	8
Endogenous1	hsa-miR-127-3p	MIMAT0000446	196
Endogenous1	hsa-miR-127-5p	MIMAT0004604	4
Endogenous1	hsa-miR-1270	MIMAT0005924	24
Endogenous1	hsa-miR-1271-5p	MIMAT0005796	16
Endogenous1	hsa-miR-1272	MIMAT0005925	14
Endogenous1	hsa-miR-1273a	MIMAT0005926	36
Endogenous1	hsa-miR-1273c	MIMAT0015017	9
Endogenous1	hsa-miR-1273d	MIMAT0015090	11
Endogenous1	hsa-miR-1273e	MIMAT0018079	12
Endogenous1	hsa-miR-1273f	MIMAT0020601	7
Endogenous1	hsa-miR-1273g-5p	MIMAT0020602	9
Endogenous1	hsa-miR-1275	MIMAT0005929	32
Endogenous1	hsa-miR-1276	MIMAT0005930	15
Endogenous1	hsa-miR-1277-3p	MIMAT0005933	11
Endogenous1	hsa-miR-1278	MIMAT0005936	13
Endogenous1	hsa-miR-1279	MIMAT0005937	20
Endogenous1	hsa-miR-128	MIMAT0000424	1541
Endogenous1	hsa-miR-1280	MIMAT0005946	7
Endogenous1	hsa-miR-1281	MIMAT0005939	21
Endogenous1	hsa-miR-1282	MIMAT0005940	10
Endogenous1	hsa-miR-1283	MIMAT0005799	1
Endogenous1	hsa-miR-1284	MIMAT0005941	3
Endogenous1	hsa-miR-1285-3p	MIMAT0005876	10
Endogenous1	hsa-miR-1286	MIMAT0005877	12
Endogenous1	hsa-miR-1287	MIMAT0005878	35
Endogenous1	hsa-miR-1288	MIMAT0005942	7
Endogenous1	hsa-miR-1289	MIMAT0005879	8
Endogenous1	hsa-miR-129-2-3p	MIMAT0004605	455
Endogenous1	hsa-miR-129-5p	MIMAT0000242	60
Endogenous1	hsa-miR-1290	MIMAT0005880	14
Endogenous1	hsa-miR-1291	MIMAT0005881	12
Endogenous1	hsa-miR-1292	MIMAT0005943	8
Endogenous1	hsa-miR-1293	MIMAT0005883	11
Endogenous1	hsa-miR-1294	MIMAT0005884	5
Endogenous1	hsa-miR-1295a	MIMAT0005885	18
Endogenous1	hsa-miR-1296	MIMAT0005794	18
Endogenous1	hsa-miR-1297	MIMAT0005886	19
Endogenous1	hsa-miR-1298	MIMAT0005800	12
Endogenous1	hsa-miR-1299	MIMAT0005887	16
Endogenous1	hsa-miR-1301	MIMAT0005797	19
Endogenous1	hsa-miR-1302	MIMAT0005890	9
Endogenous1	hsa-miR-1303	MIMAT0005891	11
Endogenous1	hsa-miR-1304-5p	MIMAT0005892	7
Endogenous1	hsa-miR-1305	MIMAT0005893	17
Endogenous1	hsa-miR-1306-3p	MIMAT0005950	7
Endogenous1	hsa-miR-1307-3p	MIMAT0005951	15
Endogenous1	hsa-miR-130a-3p	MIMAT0000425	458
Endogenous1	hsa-miR-130b-3p	MIMAT0000691	52
Endogenous1	hsa-miR-132-3p	MIMAT0000426	296
Endogenous1	hsa-miR-1321	MIMAT0005952	12
Endogenous1	hsa-miR-1322	MIMAT0005953	21
Endogenous1	hsa-miR-1323	MIMAT0005795	5775
Endogenous1	hsa-miR-1324	MIMAT0005956	9
Endogenous1	hsa-miR-133a	MIMAT0000427	828
Endogenous1	hsa-miR-133b	MIMAT0000770	33
Endogenous1	hsa-miR-134	MIMAT0000447	15
Endogenous1	hsa-miR-135a-5p	MIMAT0000428	322
Endogenous1	hsa-miR-135b-5p	MIMAT0000758	1954
Endogenous1	hsa-miR-136-5p	MIMAT0000448	158
Endogenous1	hsa-miR-137	MIMAT0000429	476
Endogenous1	hsa-miR-138-5p	MIMAT0000430	14
Endogenous1	hsa-miR-139-3p	MIMAT0004552	27
Endogenous1	hsa-miR-139-5p	MIMAT0000250	54
Endogenous1	hsa-miR-140-3p	MIMAT0004597	21
Endogenous1	hsa-miR-140-5p	MIMAT0000431	284
Endogenous1	hsa-miR-141-3p	MIMAT0000432	427
Endogenous1	hsa-miR-142-3p	MIMAT0000434	1793
Endogenous1	hsa-miR-142-5p	MIMAT0000433	11
Endogenous1	hsa-miR-143-3p	MIMAT0000435	6828
Endogenous1	hsa-miR-144-3p	MIMAT0000436	383
Endogenous1	hsa-miR-145-5p	MIMAT0000437	15382
Endogenous1	hsa-miR-1468	MIMAT0006789	10
Endogenous1	hsa-miR-1469	MIMAT0007347	9
Endogenous1	hsa-miR-146a-5p	MIMAT0000449	140
Endogenous1	hsa-miR-146b-3p	MIMAT0004766	15
Endogenous1	hsa-miR-146b-5p	MIMAT0002809	100
Endogenous1	hsa-miR-1470	MIMAT0007348	17
Endogenous1	hsa-miR-1471	MIMAT0007349	10
Endogenous1	hsa-miR-147a	MIMAT0000251	11
Endogenous1	hsa-miR-147b	MIMAT0004928	20
Endogenous1	hsa-miR-148a-3p	MIMAT0000243	1504
Endogenous1	hsa-miR-148b-3p	MIMAT0000759	586
Endogenous1	hsa-miR-149-5p	MIMAT0000450	343
Endogenous1	hsa-miR-150-5p	MIMAT0000451	496
Endogenous1	hsa-miR-151a-3p	MIMAT0000757	119
Endogenous1	hsa-miR-151a-5p	MIMAT0004697	165
Endogenous1	hsa-miR-151b	MIMAT0010214	12
Endogenous1	hsa-miR-152	MIMAT0000438	90
Endogenous1	hsa-miR-153	MIMAT0000439	20
Endogenous1	hsa-miR-1537	MIMAT0007399	9
Endogenous1	hsa-miR-1538	MIMAT0007400	21
Endogenous1	hsa-miR-1539	MIMAT0007401	20
Endogenous1	hsa-miR-154-5p	MIMAT0000452	32
Endogenous1	hsa-miR-155-5p	MIMAT0000646	117
Endogenous1	hsa-miR-15a-5p	MIMAT0000068	2227
Endogenous1	hsa-miR-15b-5p	MIMAT0000417	1827
Endogenous1	hsa-miR-16-5p	MIMAT0000069	3894
Endogenous1	hsa-miR-181a-5p	MIMAT0000256	973
Endogenous1	hsa-miR-181b-5p+hsa-miR-181d	MIMAT0000257	86
Endogenous1	hsa-miR-181c-5p	MIMAT0000258	84
Endogenous1	hsa-miR-182-5p	MIMAT0000259	81
Endogenous1	hsa-miR-1825	MIMAT0006765	24
Endogenous1	hsa-miR-1827	MIMAT0006767	11
Endogenous1	hsa-miR-183-5p	MIMAT0000261	78
Endogenous1	hsa-miR-184	MIMAT0000454	12
Endogenous1	hsa-miR-185-5p	MIMAT0000455	74
Endogenous1	hsa-miR-186-5p	MIMAT0000456	249
Endogenous1	hsa-miR-187-3p	MIMAT0000262	23
Endogenous1	hsa-miR-188-3p	MIMAT0004613	17
Endogenous1	hsa-miR-188-5p	MIMAT0000457	49
Endogenous1	hsa-miR-18a-5p	MIMAT0000072	77
Endogenous1	hsa-miR-18b-5p	MIMAT0001412	46
Endogenous1	hsa-miR-1908	MIMAT0007881	7
Endogenous1	hsa-miR-1909-3p	MIMAT0007883	13
Endogenous1	hsa-miR-190a	MIMAT0000458	31
Endogenous1	hsa-miR-190b	MIMAT0004929	12
Endogenous1	hsa-miR-191-5p	MIMAT0000440	918
Endogenous1	hsa-miR-1910	MIMAT0007884	10
Endogenous1	hsa-miR-1911-5p	MIMAT0007885	20
Endogenous1	hsa-miR-1912	MIMAT0007887	14
Endogenous1	hsa-miR-1913	MIMAT0007888	16
Endogenous1	hsa-miR-1914-5p	MIMAT0007889	15
Endogenous1	hsa-miR-1915-3p	MIMAT0007892	29
Endogenous1	hsa-miR-192-5p	MIMAT0000222	327
Endogenous1	hsa-miR-193a-3p	MIMAT0000459	23
Endogenous1	hsa-miR-193a-5p	MIMAT0004614	72
Endogenous1	hsa-miR-193b-3p	MIMAT0002819	85
Endogenous1	hsa-miR-194-5p	MIMAT0000460	833
Endogenous1	hsa-miR-195-5p	MIMAT0000461	558
Endogenous1	hsa-miR-196a-5p	MIMAT0000226	27
Endogenous1	hsa-miR-196b-5p	MIMAT0001080	63
Endogenous1	hsa-miR-197-3p	MIMAT0000227	270
Endogenous1	hsa-miR-1972	MIMAT0009447	15
Endogenous1	hsa-miR-1973	MIMAT0009448	19
Endogenous1	hsa-miR-1976	MIMAT0009451	7
Endogenous1	hsa-miR-198	MIMAT0000228	11
Endogenous1	hsa-miR-199a-3p+hsa-miR-199b-3p	MIMAT0000232	1690
Endogenous1	hsa-miR-199a-5p	MIMAT0000231	368
Endogenous1	hsa-miR-199b-5p	MIMAT0000263	492
Endogenous1	hsa-miR-19a-3p	MIMAT0000073	113
Endogenous1	hsa-miR-19b-3p	MIMAT0000074	1066
Endogenous1	hsa-miR-200a-3p	MIMAT0000682	198
Endogenous1	hsa-miR-200b-3p	MIMAT0000318	493
Endogenous1	hsa-miR-200c-3p	MIMAT0000617	2215
Endogenous1	hsa-miR-202-3p	MIMAT0002811	28
Endogenous1	hsa-miR-203	MIMAT0000264	60
Endogenous1	hsa-miR-204-5p	MIMAT0000265	1531
Endogenous1	hsa-miR-205-5p	MIMAT0000266	858
Endogenous1	hsa-miR-2052	MIMAT0009977	8
Endogenous1	hsa-miR-2053	MIMAT0009978	13
Endogenous1	hsa-miR-2054	MIMAT0009979	6
Endogenous1	hsa-miR-206	MIMAT0000462	53
Endogenous1	hsa-miR-208a	MIMAT0000241	32
Endogenous1	hsa-miR-208b	MIMAT0004960	82
Endogenous1	hsa-miR-20a-5p+hsa-miR-20b-5p	MIMAT0000075	1496
Endogenous1	hsa-miR-21-5p	MIMAT0000076	2386
Endogenous1	hsa-miR-210	MIMAT0000267	15
Endogenous1	hsa-miR-211-5p	MIMAT0000268	14
Endogenous1	hsa-miR-2110	MIMAT0010133	21
Endogenous1	hsa-miR-2113	MIMAT0009206	8
Endogenous1	hsa-miR-2114-5p	MIMAT0011156	10
Endogenous1	hsa-miR-2115-5p	MIMAT0011158	4
Endogenous1	hsa-miR-2116-5p	MIMAT0011160	23
Endogenous1	hsa-miR-2117	MIMAT0011162	18
Endogenous1	hsa-miR-212-3p	MIMAT0000269	20
Endogenous1	hsa-miR-214-3p	MIMAT0000271	108
Endogenous1	hsa-miR-215	MIMAT0000272	160
Endogenous1	hsa-miR-216a	MIMAT0000273	10
Endogenous1	hsa-miR-216b	MIMAT0004959	233
Endogenous1	hsa-miR-217	MIMAT0000274	45
Endogenous1	hsa-miR-218-5p	MIMAT0000275	220
Endogenous1	hsa-miR-219-1-3p	MIMAT0004567	15
Endogenous1	hsa-miR-219-2-3p	MIMAT0004675	54
Endogenous1	hsa-miR-219-5p	MIMAT0000276	20
Endogenous1	hsa-miR-22-3p	MIMAT0000077	1337
Endogenous1	hsa-miR-221-3p	MIMAT0000278	860
Endogenous1	hsa-miR-222-3p	MIMAT0000279	419
Endogenous1	hsa-miR-223-3p	MIMAT0000280	1019
Endogenous1	hsa-miR-224-5p	MIMAT0000281	16
Endogenous1	hsa-miR-2276	MIMAT0011775	22
Endogenous1	hsa-miR-2277-3p	MIMAT0011777	10
Endogenous1	hsa-miR-2277-5p	MIMAT0017352	12
Endogenous1	hsa-miR-2278	MIMAT0011778	10
Endogenous1	hsa-miR-23a-3p	MIMAT0000078	5060
Endogenous1	hsa-miR-23b-3p	MIMAT0000418	1828
Endogenous1	hsa-miR-23c	MIMAT0018000	16
Endogenous1	hsa-miR-24-3p	MIMAT0000080	1207
Endogenous1	hsa-miR-25-3p	MIMAT0000081	605
Endogenous1	hsa-miR-2682-5p	MIMAT0013517	14
Endogenous1	hsa-miR-26a-5p	MIMAT0000082	7871
Endogenous1	hsa-miR-26b-5p	MIMAT0000083	2120
Endogenous1	hsa-miR-27a-3p	MIMAT0000084	255
Endogenous1	hsa-miR-27b-3p	MIMAT0000419	2286
Endogenous1	hsa-miR-28-3p	MIMAT0004502	121
Endogenous1	hsa-miR-28-5p	MIMAT0000085	125
Endogenous1	hsa-miR-296-3p	MIMAT0004679	10
Endogenous1	hsa-miR-296-5p	MIMAT0000690	107
Endogenous1	hsa-miR-297	MIMAT0004450	40
Endogenous1	hsa-miR-298	MIMAT0004901	8
Endogenous1	hsa-miR-299-3p	MIMAT0000687	110
Endogenous1	hsa-miR-299-5p	MIMAT0002890	97
Endogenous1	hsa-miR-29a-3p	MIMAT0000086	466
Endogenous1	hsa-miR-29b-3p	MIMAT0000100	2852
Endogenous1	hsa-miR-29c-3p	MIMAT0000681	440
Endogenous1	hsa-miR-300	MIMAT0004903	16
Endogenous1	hsa-miR-301a-3p	MIMAT0000688	128
Endogenous1	hsa-miR-301b	MIMAT0004958	54
Endogenous1	hsa-miR-302a-3p	MIMAT0000684	1495
Endogenous1	hsa-miR-302b-3p	MIMAT0000715	6895
Endogenous1	hsa-miR-302c-3p	MIMAT0000717	368
Endogenous1	hsa-miR-302d-3p	MIMAT0000718	1708
Endogenous1	hsa-miR-302e	MIMAT0005931	7
Endogenous1	hsa-miR-302f	MIMAT0005932	19
Endogenous1	hsa-miR-30a-5p	MIMAT0000087	979
Endogenous1	hsa-miR-30b-5p	MIMAT0000420	8277
Endogenous1	hsa-miR-30c-5p	MIMAT0000244	609
Endogenous1	hsa-miR-30d-5p	MIMAT0000245	972
Endogenous1	hsa-miR-30e-5p	MIMAT0000692	422
Endogenous1	hsa-miR-31-5p	MIMAT0000089	32
Endogenous1	hsa-miR-3123	MIMAT0014985	8
Endogenous1	hsa-miR-3127-5p	MIMAT0014990	13
Endogenous1	hsa-miR-3131	MIMAT0014996	12
Endogenous1	hsa-miR-3136-5p	MIMAT0015003	6
Endogenous1	hsa-miR-3141	MIMAT0015010	7
Endogenous1	hsa-miR-3144-5p	MIMAT0015014	12
Endogenous1	hsa-miR-3147	MIMAT0015019	26
Endogenous1	hsa-miR-3151	MIMAT0015024	52
Endogenous1	hsa-miR-3154	MIMAT0015028	9
Endogenous1	hsa-miR-3161	MIMAT0015035	14
Endogenous1	hsa-miR-3164	MIMAT0015038	6
Endogenous1	hsa-miR-3168	MIMAT0015043	5
Endogenous1	hsa-miR-3175	MIMAT0015052	5
Endogenous1	hsa-miR-3178	MIMAT0015055	7
Endogenous1	hsa-miR-3180	MIMAT0018178	19
Endogenous1	hsa-miR-3180-3p	MIMAT0015058	11
Endogenous1	hsa-miR-3180-5p	MIMAT0015057	9
Endogenous1	hsa-miR-3182	MIMAT0015062	13
Endogenous1	hsa-miR-3184-5p	MIMAT0015064	16
Endogenous1	hsa-miR-3185	MIMAT0015065	12
Endogenous1	hsa-miR-3187-3p	MIMAT0015069	8
Endogenous1	hsa-miR-3190-5p	MIMAT0015073	7
Endogenous1	hsa-miR-3192	MIMAT0015076	19
Endogenous1	hsa-miR-3195	MIMAT0015079	54
Endogenous1	hsa-miR-3196	MIMAT0015080	10
Endogenous1	hsa-miR-32-5p	MIMAT0000090	189
Endogenous1	hsa-miR-3200-3p	MIMAT0015085	11
Endogenous1	hsa-miR-320a	MIMAT0000510	32
Endogenous1	hsa-miR-320b	MIMAT0005792	10
Endogenous1	hsa-miR-320c	MIMAT0005793	13
Endogenous1	hsa-miR-320d	MIMAT0006764	23
Endogenous1	hsa-miR-320e	MIMAT0015072	126
Endogenous1	hsa-miR-323a-3p	MIMAT0000755	151
Endogenous1	hsa-miR-323a-5p	MIMAT0004696	16
Endogenous1	hsa-miR-323b-3p	MIMAT0015050	18
Endogenous1	hsa-miR-323b-5p	MIMAT0001630	14
Endogenous1	hsa-miR-324-3p	MIMAT0000762	12
Endogenous1	hsa-miR-324-5p	MIMAT0000761	145
Endogenous1	hsa-miR-325	MIMAT0000771	12
Endogenous1	hsa-miR-326	MIMAT0000756	12
Endogenous1	hsa-miR-328	MIMAT0000752	24
Endogenous1	hsa-miR-329	MIMAT0001629	21
Endogenous1	hsa-miR-330-3p	MIMAT0000751	102
Endogenous1	hsa-miR-330-5p	MIMAT0004693	34
Endogenous1	hsa-miR-331-3p	MIMAT0000760	137
Endogenous1	hsa-miR-331-5p	MIMAT0004700	16
Endogenous1	hsa-miR-335-5p	MIMAT0000765	378
Endogenous1	hsa-miR-337-3p	MIMAT0000754	158
Endogenous1	hsa-miR-337-5p	MIMAT0004695	92
Endogenous1	hsa-miR-338-3p	MIMAT0000763	131
Endogenous1	hsa-miR-338-5p	MIMAT0004701	6
Endogenous1	hsa-miR-339-3p	MIMAT0004702	24
Endogenous1	hsa-miR-339-5p	MIMAT0000764	9
Endogenous1	hsa-miR-33a-5p	MIMAT0000091	37
Endogenous1	hsa-miR-33b-5p	MIMAT0003301	8
Endogenous1	hsa-miR-340-5p	MIMAT0004692	268
Endogenous1	hsa-miR-342-3p	MIMAT0000753	1214
Endogenous1	hsa-miR-342-5p	MIMAT0004694	7
