"","Trans","Expected","Observed","Difference"
"1","ALR","26",28,2
"2","ALR","26",26,0
"3","ALR","26",30,4
"4","ALR","26",28,2
"5","ALR","26",30,4
"6","ALR","26",28,2
"7","ALR","26",29,3
"8","ALR","26",27,1
"9","ALR","26",30,4
"10","ALR","26",29,3
"11","ALR","26",27,1
"12","ALR","26",28,2
"13","ALR","26",28,2
"14","ALR","26",26,0
"15","ALR","26",26,0
"16","ALR","26",29,3
"17","ALR","26",27,1
"18","ALR","26",31,5
"19","ALR","26",28,2
"20","ALR","26",30,4
"21","ALR","26",27,1
"22","ALR","26",26,0
"23","ALR","26",26,0
"24","ALR","26",27,1
"25","ALR","26",26,0
"26","ALR","26",27,1
"27","ALR","26",30,4
"28","ALR","26",27,1
"29","ALR","26",29,3
"30","ALR","26",27,1
"31","ALR","26",29,3
"32","ALR","26",26,0
"33","ALR","26",36,10
"34","ALR","26",30,4
"35","ALR","26",28,2
"36","ALR","26",29,3
"37","ALR","26",27,1
"38","ALR","26",28,2
"39","ALR","26",29,3
"40","ALR","26",27,1
"41","ALR","26",28,2
"42","ALR","26",26,0
"43","ALR","26",29,3
"44","ALR","26",29,3
"45","ALR","26",29,3
"46","ALR","26",25,-1
"47","ALR","26",26,0
"48","ALR","26",27,1
"49","ALR","26",30,4
"50","ALR","26",27,1
"51","ALR","26",28,2
"52","ALR","26",26,0
"53","ALR","26",27,1
"54","ALR","26",27,1
"55","ALR","26",29,3
"56","ALR","26",33,7
"57","ALR","26",30,4
"58","ALR","26",27,1
"59","ALR","26",33,7
"60","ALR","26",28,2
"61","ALR","26",27,1
"62","ALR","26",32,6
"63","ALR","26",26,0
"64","ALR","26",29,3
"65","ALR","26",27,1
"66","ALR","26",26,0
"67","ALR","26",26,0
"68","ALR","26",31,5
"69","ALR","26",28,2
"70","ALR","26",29,3
"71","ALR","26",28,2
"72","ALR","26",26,0
"73","ALR","26",31,5
"74","ALR","26",28,2
"75","ALR","26",28,2
"76","ALR","26",30,4
"77","ALR","26",29,3
"78","ALR","26",29,3
"79","ALR","26",30,4
"80","ALR","26",33,7
"81","ALR","26",30,4
"82","ALR","26",28,2
"83","ALR","26",30,4
"84","ALR","26",29,3
"85","ALR","26",27,1
"86","ALR","26",27,1
"87","ALR","26",28,2
"88","ALR","26",30,4
"89","ALR","26",28,2
"90","ALR","26",30,4
"91","ALR","26",28,2
"92","ALR","26",28,2
"93","ALR","26",27,1
"94","ALR","26",29,3
"95","ALR","26",28,2
"96","ALR","26",29,3
"97","ALR","26",26,0
"98","ALR","26",27,1
"99","ALR","26",27,1
"100","ALR","26",27,1
"101","CLR","26",76,50
"102","CLR","26",46,20
"103","CLR","26",42,16
"104","CLR","26",82,56
"105","CLR","26",48,22
"106","CLR","26",121,95
"107","CLR","26",53,27
