transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
LAG3	1	1	FALSE	FALSE
RPL6	1	1	FALSE	FALSE
PVR	1	1	FALSE	FALSE
TNFRSF1A	1	1	FALSE	FALSE
IL1RAP	1	1	FALSE	FALSE
NFKB2	1	1	FALSE	FALSE
TBX21	1	1	FALSE	FALSE
ICAM3	1	1	FALSE	FALSE
CD22	1	1	FALSE	FALSE
CX3CL1	1	1	FALSE	FALSE
CD209	1	1	FALSE	FALSE
SLC25A3	1	1	FALSE	FALSE
TNFRSF17	1	1	FALSE	FALSE
IL32	1	1	FALSE	FALSE
CCL26	1	1	FALSE	FALSE
FLT3LG	1	1	FALSE	FALSE
IL4R	1	1	FALSE	FALSE
CD74	1	1	FALSE	FALSE
CD4	1	1	FALSE	FALSE
ITGB4	1	1	FALSE	FALSE
